is হয়
equal সুষম
arbiter অরবিটার
patients রোগীদের
research গবেষনা
screen পর্দায়
as পক্ষে
accomplishment সিদ্ধি
somebody কারও
above ওপরে
anthropology নৃবিজ্ঞান
powerful শক্তিশালী
day দিন
abrahamian আব্রাহামীয়
killed নিহত
flash ফ্ল্যাশ
prayer প্রার্থনা
annual বার্ষিক
principle নীতির
now আজকাল
get পেলেও
gender লিঙ্গ
accordingly প্রথাগত
everything সবচাইতে
dramatist নাট্যকার
general সেনাপতি
32 ৩২টি
costa কোস্টা
confirmed নিশ্চিত
happened ঘটিয়ে
wear পরার
state প্রদেশ
worship আরাধনা
less ক্ষুদ্রতর
386 ৩৮৬
taker গ্রহণকারী
understand বোঝার
part অংশ
cloning ক্লোনিং
recently সাম্প্রতিক
kept রাখে
obstruction বাধা
captive অন্তরীণ
slave দাস
geology ভূত্বক
weak মৃদু
golden গোল্ডেন
memorial স্মরণে
dictatorship একদলীয়
limited সসীম
slovenia স্লোভেনিয়া
law ল
kelvin কেলভিন
thus এভাবেই
hitler হিটলার
london লণ্ডন
whom কার
partnership অংশীদার
field অঙ্গনে
children শিশুর
tenth দশম
pakistan পাকিস্তানকে
expense ব্যয়
leaving ত্যাগের
astronomy জ্যোতির্বিদ্যা
magnetism চৌম্বকীয়
us ইউএস
wealth সম্পত্তি
0 ০
object অবজেক্ট
pick তোলা
rail রেলের
selected মনোনয়ন
celebrate পালনের
encyclopedia বিশ্বকোষ
freedom মুক্তিপ্রাপ্ত
empire সাম্রাজ্যের
pure বিশুদ্ধ
planed পরিকল্পিত
togetherness সমষ্টিগত
novel ঔপন্যাসিক
common সাধারন
previously পূর্বসূরি
geometry জ্যামিতিকে
then তখনো
hear শোনা
assembly বিধানসভা
correctly যথাযথ
acceptable গ্রহণযোগ্য
making নির্মাণে
spleen প্লীহা
appropriate যথাযথ
section অনুচ্ছেদ
dvd ডিভিডি
more মুর
end ইতি
sql এসকিউএল
without ব্যতিরেকে
m.a. এমএ
1684 ১৬৮৪
rfc আরএফসি
discovery আবিষ্কারের
infinite অসীম
noakhali নোয়াখালী
verify যাচাই
these এগুলিকে
socrates সক্রেটিসকে
remaining বাকি
king সম্রাটের
each প্রত্যেকটির
tiger বাঘের
dedicated উৎসর্গ
brother দাদা
classified শ্রেণীবিন্যাস
leading নেতৃস্থানীয়
letter হরফে
galileo গালিলেও
answer জবাব
contracted সংকুচিত
student শিক্ষার্থী
maker সৃষ্টিকারী
ashutosh আশুতোষ
biology জীববিজ্ঞানের
spread ছড়িয়ে
following নিম্নলিখিত
neurology স্নায়ুবিজ্ঞান
empire রাজ
always সর্বদাই
poor গরিব
very খুব
home বাড়ি
disturbance অস্থিরতা
om ওঁ
way ব্যবস্থায়
gaus গাউস
johannes ইয়োহানেস
prague প্রাগ
keep রাখার
spiral কুণ্ডলাকার
business বানিজ্যিক
total সম্মিলিত
australia অস্ট্রেলিয়া
analysis পরিসংখ্যান
ukraine ইউক্রেন
electro-magnetic তড়িৎচুম্বকীয়
program প্রোগ্রামের
permanently স্থায়ীভাবে
land জমির
explanation ব্যাখ্যা
senseless চৈতন্য
madina মদীনা
oxygen অক্সিজেন
sombrero সমব্রেরো
invitation আমন্ত্রণ
level সীমার
number পদ
7 সাতটি
book বইয়ের
assistance সহায়তার
conformity সামঞ্জস্য
solution সমাধান
principle পুঁজি
together একত্র
64 ৬৪
could পারতেন
yearly বছরেই
unique অনন্য
carrier বাহক
intruders অভিবাসী
wax মোম
got পেয়ে
fairy ফেরেশতা
sinterklaas সিন্টারক্লাস
come এসেও
unemployment বেকারত্বের
triangle ট্রায়াঙ্গেল
honourable সম্মানিত
discover সন্ধান
durga দুর্গার
committee পরিষদের
equator বিষুবরেখা
ashoka অশোক
gravity মহাকর্ষ
almanac পঞ্জিকা
suddenly হঠাৎ
well ভাল
philosophy দর্শনকে
exhibited প্রদর্শিত
06 ০৬
fast দ্রুত
everest এভারেস্ট
fulfillment আদায়ের
theory মতবাদ
trouble উপসর্গ
third তৃতীয়
magistrate ম্যাজিস্ট্রেট
secondary মাধ্যমিক
assembly জনগোষ্ঠী
movement আন্দোলনকে
sketch আভাস
format ফরম্যাট
november নভেম্বরের
adjacent ঘেঁষে
preserved সংরক্ষিত
drum ড্রামের
accordingly অণুবীক্ষণযন্ত্র
generation প্রজন্মান্তরে
writing লেখালেখি
cellular সেলুলার
1920 ১৯২০
heating তাপীয়
papers নথিপত্র
receiver গ্রহণকারী
hallucination বিভ্রম
situation অবস্থা
organise আয়োজন
globalization বৈশ্বিক
overy ডিম্বাশয়
ad খ্রীস্টাব্দে
leo লিও
mahmood মাহমুদ
hijri হিজরী
try চেষ্টা
establish পত্তন
script লিপি
permanent কায়েম
each প্রত্যেকেই
indians ভারতীয়দের
song গানের
linguistic ভাষাবিজ্ঞানী
25000 ২৫০০০
ditch খাত
torvalds তোরভাল্দ্‌স
ownership মালিকানাধীন
cordata কর্ডাটা
efficiency দক্ষতা
fully পরিপূর্ণ
fraction ভগ্নাংশ
mechanical কারিগরি
8th ৮ম
perfectly ভালভাবে
soil মৃত্তিকা
copy কপি
amine অ্যামিন
empire সাম্রাজ্য
mention উল্লেখ
radar রাডার
punjab পাঞ্জাব
stayed রয়ে
ong ওঁ
prag প্রাগের
humanitarian মানবিক
description বর্ণনা
imaginary কাল্পনিক
depth তল
originated আগত
actually আসলে
raben রবেন
phase পর্বে
states রাষ্ট্রগুলি
one এক
self-governed স্বরাজ
province অঙ্গরাজ্য
erik ইয়র্কের
involve জড়িয়ে
framework ফ্রেমওয়ার্ক
feature ফিচার
clear মুছে
35 ৩৫
occupation পেশায়
celebration উদযাপনের
bengal বেঙ্গল
news বার্তার
desert মরুভূমি
hopi হোপি
parts উপাদানের
1919 ১৯১৯
director প্রশাসক
place জায়গা
japanese জাপানিদের
vietnam ভিয়েতনামের
stone স্টোন
material বস্তুকে
sexuality যৌনতার
dee ডি
media মিডিয়া
manager ব্যবস্থাপক
turkey তুরস্কে
circuit সার্কিট
originate উৎসারিত
surface পৃষ্ঠতলে
synonym সমার্থক
sentence বাক্যে
list তালিকা
constitutional আনুষ্ঠানিক
60000 ৬০০০০
physical পদার্থের
superstation কুসংস্কার
past কুচকাওয়াজ
prakrit প্রতীকী
including জুড়ে
borodin বড়দিনের
king রাজের
in বুকে
create আবিষ্কার
decorated সাজানো
crack ফাটল
ninth নবম
magazine পত্রিকাটির
agee সম্মত
1984 ১৯৮৪
passenger যাত্রী
mazumder মজুমদার
definition সংজ্ঞার
all সমস্ত
sphere মন্ডল
used লাগে
ten দশ
care যত্ন
tricolored ত্রিবর্ণরঞ্জিত
fluid তরল
position অবস্থান
depend অবলম্বন
ok যাহোক
writer সাহিত্যিক
raised উত্তোলিত
inside ভিতর
go চল
ditch খাদ
firewall ফায়ারওয়াল
cool ঠাণ্ডা
theoretical তাত্ত্বিক
caste গোত্রকে
politics রাজনীতির
thought ভাবতেন
origin বুৎপত্তি
fishing ফিশিং
navy নৌবাহিনীর
wet আর্দ্রতা
dear আজিজ
hard শক্ত
fall পড়া
destruction ক্ষতিগ্রস্ত
worship পূজা
12th দ্বাদশ
sure সুনিশ্চিত
title উপাধি
totally বেশী
disappear অদৃশ্য
cholon কোলন
experiment পরীক্ষণ
european ইউরোপীয়ান
district বিভাগ
properly ভালভাবে
archeologists প্রত্নতাত্ত্বিকরা
desart মরুভূমি
pythagoras পিথাগোরাস
bosnia বসনিয়া
so সেহেতু
distant দূরবর্তী
dynasty রাজত্ব
senate শরীফ
without বাদে
gypsy বেদে
crying ক্রন্দন
abstained বিরত
beeswax মোম
barbara বারবারা
april এপ্রিল
clerk ক্লার্ক
f চ
person ব্যক্তিরা
went গমন
principia প্রিন্সিপিয়া
match ম্যাচ
slightly একটু
time সময়কালের
post পোস্ট
internet ইন্টারনেট
keep পালনের
longest দীর্ঘতম
became হয়েছি
wheat গম
percentage পরিসর
complaint অভিযোগ
clarification ব্যাখ্যা
south সাউথ
night রাত
archeological পুরাতাত্ত্বিক
however অথচ
as যতক্ষণ
kept রাখা
islam ইসলামের
saarc সার্ক
1962 ১৯৬২
good উত্তম
continuously ধারাবাহিকতায়
revolution অভ্যুত্থান
features বৈশিষ্টসমূহ
pronounced উচ্চারিত
disease রোগে
tiny ক্ষুদ্রকায়
clark ক্লার্ক
stand দাঁড়িয়ে
application প্রয়োগ
tribals অভিবাসী
hesitation সংশয়
ural উরাল
orbit কক্ষে
broken ভাঙ্গন
sophisticated অভিজাত
abandoned পরিত্যাক্ত
daud ডায়োড
tributary উপনদী
own আপন
makes তোলে
follow চলে
transformed পরিবর্তিত
character চরিত্রটি
culture সুকুমার
reflected বিকিরিত
kali কালীর
expression অভিব্যক্তি
cellphone মুঠোফোন
land ভূত্বক
double দ্বিগুণ
synonymous সমার্থক
people জনগণ
refugee উদ্বাস্তু
noticeable লক্ষণীয়
problem অসুবিধা
viewable দর্শনীয়
ministry মন্ত্রণালয়
saved সঞ্চিত
spacecraft মহাকাশযান
light মৃদু
median মাঝ
work কর্মকান্ড
him তিনি
coordination সাধন
interaction মিথস্ক্রিয়ার
structure অবকাঠামো
upanishads উপনিষদ
comment উক্তি
raver রাওয়ের
eleven আগোরা
powerful ক্ষমতাসম্পন্ন
purana পুরাণ
bring আনেন
destroyed নষ্ট
aas আস
laxmi লক্ষ্মী
sex কাম
search যাচাই
88 ৮৮
bangle চুড়ি
something কিছুকে
doll পুতুল
day বার
modulation উপযোজন
vacant ফাঁকা
compile প্রণয়ন
establish স্থাপন
1100 ১১০০
journey সফর
personality সত্ত্বা
architecture নকশায়
thinking দর্শন
barren ঊষর
kena কেনা
board পর্ষদ
chemistry রসায়নের
process প্রসেস
february ফ্রেব্রুয়ারি
below নীচের
pipe নল
pregnancy গর্ভধারণের
agitated বিচলিত
familiar পরিচিত
jari জারি
illness রোগ
show দেখাতে
touch স্পর্শ
report প্রতিবেদন
talk কথা
vegetable আমিষ
mouth মুখ
north উত্তরে
islami ইসলামি
live বেঁচে
amazing বিস্ময়কর
everyday দৈনন্দিন
fear ভয়ে
everything সর্বস্ব
need প্রয়োজনে
1841 ১৮৪১
commander সেনাপতি
leader ইমাম
father বাবাকে
once একবার
highest সর্বোচ্চ
wireless বেতার
widespread ব্যাপক
twice দুভাগে
receive গ্রহণ
inequity অসমতা
bihar বিহার
air বাতাস
want চাইলে
flow স্রোত
counting ধরেই
opposition প্রতিপক্ষের
interior আভ্যন্তরীন
mughals মুঘলদের
encourage উৎসাহ
not নন
hoya হয়৷
invention আবিস্কার
centralized একীভূত
johann ইয়োহান
sculpture ভাস্কর্য
1727 ১৭২৭
obama ওবামা
poland পোল্যান্ডের
technologist প্রকৌশলীরা
cabinet উপনিষদ্‌
science বিজ্ঞানের
definitely অবশ্যই
1990 ১৯৯০
liquor সূরার
out বেরিয়ে
clear প্রচ্ছন্ন
gujarati গুজরাটী
tenochtitlan টেনোচতিৎলান
norwegian নরওয়েজীয়
hang ফাঁসি
dasharatha দশরথ
so বলেই
orphanage এতিমখানা
thought বোঝা
whose কার
messenger বার্তাবাহক
movie ছবিটি
culture সংস্কৃতির
because কারন
quantity পরিমাণে
reach পৌছে
assembly আইনসভা
work কার্য
gautam গৌতম
theater নাট্যকলা
local লোকাল
poetry কাব্য
direction পরিচালিত
entry অনুপ্রবেশ
trustworthy বিশ্বাসী
rumour গুজব
after পর
version সংস্করন
reject প্রত্যাখ্যান
theory তত্ত্বে
sikhism শিখধর্ম
seen দেখেছিলেন
republic রেপুব্লিকা
movie মুভি
croatia ক্রোয়েশিয়া
jaya জয়া
muhammad মুহাম্মাদকে
hamlet হ্যামলেট
complain অভিযোগ
another আরেকটি
rajput রাজপুত
persist বিরাজমান
inner অন্তর্নিহিত
1983 ১৯৮৩
honourable সম্মানসূচক
person ব্যক্তি
heard শোনা
serbia সার্বিয়া
collectively সমষ্টিগত
asian এশীয়
pray উপাসনা
revolt বিদ্রোহ
enough অধিক
hassan হাসান
fine জরিমানা
multiplication গুণ
army সেনারা
taxi ট্যাক্সি
cities শহরগুলিতে
level পর্বে
other অন্য
country রাষ্ট্রকে
named নামক
ours আমাদের
ibne ইবনে
geographical ভৌগোলিক
naughty দৃষ্ট
co-worker সহকর্মী
after পরের
seriously গুরুত্বের
among মধ্যে
string তার
sovereign সার্বভৌমত্ব
went যেতো
earth ভূত্বকের
canada কানাডা
those যেসমস্ত
plus সামষ্টিক
intake লঘু
planet গ্রহকে
complicated উত্তপ্ত
canada কানাডার
resisted প্রতিহত
prediction ভবিষ্যদ্বাণী
episode ধারাবাহিক
left বাম
captain ক্যাপ্টেন
twister ঘূর্ণিঝড়ে
pigmy পিগমি
create প্রণয়নের
indus সিন্ধু
regularly নিয়মিত
migrated চলে
land জায়গা
concept ধারনা
brought এনে
dirham ডির‍্যাম
warm উষ্ণ
bibi বিবি
will উইল
physician ১৮৬৭
latent প্রচ্ছন্ন
kolkata কলিকাতা
botany উদ্ভিদ
controversial বিতর্কিত
eukaryotic বহুকোষী
adding সংযোজন
modern আধুনিক
with সহ
latter পরবর্তী
colony উপনিবেশ
doing করাই
anny অ্যানি
panda পান্ডা
emergency জরুরী
supervisor কর্মকর্তাদের
agreement বিবৃতি
annual বার্ষিকী
initiation ভুমিকা
stayed থাকতেন
ethiopia ইথিওপিয়া
samoa সামোয়া
atlantic আটলান্টিক
gave দিয়েছিল
nationality জাতীয়তা
scientists গবেষকরা
last গত
worldwide বিশ্বজুড়ে
maximum অধিকাংশই
relation সম্পর্কের
vagina যৌনাঙ্গ
created সৃষ্টিকারী
72 ৭২
cornell কর্নেল
emergency জরুরি
sattar সাত্তার
worldwide বিশ্বতাত্ত্বিক
came এসেছিল
help সহায়তায়
many অনেকগুলি
paraguay প্যারাগুয়ে
philosopher দার্শনিক
organic জৈবিক
lifelong আজীবন
monarchy রাজতন্ত্রের
ibn ইবনে
acquired দখলে
wait অপেক্ষা
produced প্রস্তুতকৃত
literate বুদ্ধিজীবী
public জনতার
1820 ১৮২০
fine সূক্ষ্ণ
meadow তৃণভূমি
train ট্রেন
matter ঘটনায়
originate উৎপত্তি
month মাসের
columbus কলম্বাস
responsible দায়ী
acquired আয়ত্ত
both উভয়ই
essential অত্যাবশ্যক
kalidas কালিদাস
dev দেব
mohandas মোহনদাস
live থাকতেন
growth প্রবৃদ্ধি
entire পুরোটা
october অক্টোবর
hight উচ্চতার
invited আহবান
recover উঠতে
punjabi পাঞ্জাবি
canoe ভেলা
thinking ধারণাগুলি
briefly বিস্তারিত
19 ১৯
drama নাটক
himalaya হিমালয়
calculation হিসেবেই
zero ০
mai মাই
sixteenth ষোড়শ
02 ০২
included অন্তর্ভূক্ত
scientist গবেষক
spread বিস্তারে
seconds সেকেন্ডের
was হচ্ছেন
wicket উইকেট
gallery গ্যালারি
popular জনপ্রিয়
associated আনুষঙ্গিক
population জনগোষ্ঠীর
center প্রাণকেন্দ্র
coastal উপকূলবর্তী
defeated বিজিত
island উপদ্বীপ
part খণ্ডের
logic যুক্তি
brahma ব্রাহ্ম
photon ফোটন
understand বুঝতে
impersonate পরিগ্রহ
page পাতা
orthodox অর্থোডক্স
ahmed আহমদ
god দেবতা
slow ধীর
inequality অসমতা
s এস
speech ভাষণ
now এবার
eukaryotic এককোষী
azerbaijan আজারবাইজান
total সম্পূর্ন
fighting হামলা
now এখন
undefeated অপরাজিত
strength বল
reproduction প্রজননের
invention উদ্ভাবন
archeology প্রত্নতত্ত্ব
afgan আফগান
mile মাইল
grammer ব্যাকরণে
neglected অবহেলিত
took নিয়েছিলেন
bulgaria বুলগেরীয়
necessary অত্যাবশ্যক
fly উড়তে
weather জলবায়ু
reciprocal পারষ্পরিক
means বুঝায়
properly ঠিকমতো
revolt আন্দোলনে
did করছিলেন
appearance চেহারা
republic প্রজাতন্ত্রী
history ইতিহাসকে
mathematical দ্বিমিক
oath শপথ
protection প্রতিরোধের
arrangement ব্যবস্থাপনা
controlled শাসিত
writer লেখিকা
express ব্যক্ত
figure প্রতিমা
interruption বিঘ্ন
exaggerated অতিরঞ্জিত
casting নিক্ষেপ
marie মেরি
barbar বার্বার
permanent চিরস্থায়ী
include আছেন
over ওভারে
identity পরিচয়ের
oppose বাধা
reached পৌঁছানোর
make নির্মাণে
calcutta কলিকাতা
dominate শোষণ
land ভূখণ্ড
noun বিশেষ্য
technology প্রযুক্তি
keeping রেখেছে
spanish স্পেনীয়রা
yours আপনার
bach বাখের
haran হারান
archeological প্রত্নতাত্ত্বিক
capital পুঁজি
10 ১০
sovereignty সার্বভৌমত্ব
by কর্তৃক
instrument যন্ত্রাংশ
wherever যেখানেই
buddha বৌদ্ধ
century শতাব্দিতে
considered পরিগণিত
alike আনুষঙ্গিক
disciple শিষ্য
commissioner কমিশনার
realize উপলব্ধির
trampled দলিত
euro ইউরো
indian ভারতীয়দের
turn পর্যায়
did করেছিল
separately পৃথকভাবে
dr. ডঃ
machu মাচু
torture অত্যাচার
initiate উদ্যোগ
where কথায়
stagnant বদ্ধ
protocol প্রোটোকল
ricardo রিকার্ডো
universe মহাবিশ্ব
factor নিয়ামক
moon চন্দ্র
generalised সাধারণীকৃত
ringworm অঙ্গুরীমাল
people লোক
nations রাষ্ট্রগুলি
7th ৭ই
to উঠতে
strange অদ্ভুত
strike ধর্মঘট
diverse বৈচিত্র্যময়
tree গাছ
quantity পরিমাণকে
mrs মিসেস
gathering সমাগম
profession পেশা
mandela ম্যান্ডেলাকে
spread ছড়াতে
multiplication গুন
84 ৮৪
albania আলবেনিয়া
continent মহাদেশের
most বেশির
eldest বড়ো
experiment নিরীক্ষা
albanian আলবেনিয়া
said বলেছেন
buy কিনতে
mixed মিশ্রণ
laptop ল্যাপটপ
fissure ফাটল
brad ব্র্যাড
distributed বিতরণকৃত
tie বেঁধে
trophy ট্রফিটি
literature পাঠের
fort দুর্গ
production নির্মাণকাজ
dell ডেল
engineering প্রকৌশলের
mind মনের
union ঐক্যজোট
infinite অনন্ত
department বিভাগের
energy শক্তিকে
appropriately ঠিকমত
affected ক্ষতিগ্রস্ত
unit একক
thought চিন্তাধারাকে
periods আমলের
carrier বাহন
hold দখল
boat নৌকা
decision শৃঙ্খলা
variation অস্থিরতা
bone হাড়
stony প্রস্তর
points বিন্দুর
reconstruction পুনর্গঠন
inside মধ্যে
sunlight সূর্যালোক
see দেখাশোনা
dictionary আভিধানিক
show প্রদর্শনের
human মানুষকে
combined মিলিত
higher উচ্চতর
thermodynamics তাপগতিবৈজ্ঞানিক
claim দাবির
prince রাজপুত
wish কামনা
chordates কর্ডাটা
mainly মূলত
caribbean ক্যারিবিয়ান
development ডেভেলপমেন্ট
process প্রক্রিয়ার
plains সমতলভূমি
constitution সংবিধানে
1948 ১৯৪৮
genetic জিনেটিক
each প্রতিটি
hind হিন্দ
ashwin আশ্বিন
return প্রত্যাবর্তন
feni ফেনী
organized সংগঠিত
circular গোলাকার
than চাইতে
break লঙ্ঘন
ritual প্রথাটি
refuge বর্জন
affected ক্ষতিগ্রস্থ
danger সংকট
grow ওঠার
twice দুইবার
keep রাখেন
disown বর্জন
decision সিদ্ধান্ত
big বিশাল
illness অসুস্থতার
shah সাঃ
biggest সর্ববৃহৎ
association সংঘ
prize বর
harsh রুক্ষ
edition সংস্করণের
crypton ক্রিপটন
representation প্রতিনিধিত্ব
96 ৯৮
joule জুল
cultivation কৃষিকাজ
host স্বাগতিক
judge বিচারক
country দেশটির
snake সাপ
shivaji শিবাজী
plan নকশা
reach পৌঁছায়
acts কর্মকাণ্ডের
alike মতন
board বোর্ড
regional আঞ্চলিক
informative তত্ত্বীয়
fixed সুনির্দিষ্ট
poor দারিদ্র
happening হচ্ছে
assam অসম
gave দিয়েছিলেন
semifinal সেমিফাইনালে
run রান
gita গীতা
reason কারণেই
writing লিখন
dhaka ঢাকার
divine দৈব
west পশ্চিম
expansion বিস্তার
people লোকদের
ring বলয়
education পড়াশোনার
stop থেমে
baltic বাল্টিক
see চাও
euclidean ইউক্লিডীয়
wear পরিধান
dimond হীরক
sir সাহেব
orbit কক্ষপথের
crystal ক্রিস্টাল
store স্টোর
production নির্মাণের
large বৃহদাকার
vessels ভেলা
capitalism পুঁজিবাদি
any যে
properly ঠিকমত
death মৃত্যুর
tigers বাঘের
resist প্রতিরোধে
for জন্যই
method পদ্ধতির
function ফাংশনের
european ইউরোপীয়
pass উত্তীর্ণ
lend ধার
as যেমন
mode মোড
honour মান্য
fusion সংশ্লেষণ
ideas ধারণাসমূহ
industrialism শিল্পোন্নত
society সংগঠনের
tide বাঁধা
soldier সৈন্য
because কারণ
secular ধর্মনিরপেক্ষ
from হতেই
solidify জমে
wall দুর্গ
thirty ত্রিশ
person ব্যক্তিকে
revolution গৃহযুদ্ধ
woman নারী
birds পাখির
get পায়
case মামলার
burma বর্মা
addition যোগ
mutual পরস্পর
tiny ছোট্ট
targeting লক্ষ্যে
importantly বিশেষ্য
yohan ইয়োহান
rendering পরিবেশন
man ম্যান
millionaire ক্রোড়পতি
1897 ১৮৯৭
batsman ব্যাটসম্যান
technical প্রায়োগিক
96 ৯৬
proof প্রমান
page পেজ
dense ঘন
etc. ইত্যাদিতে
fire অগ্নিসংযোগ
herat হেরাত
hug আলিঙ্গন
abdul আবদুল
roma রোমা
computer কম্পিউটার
airport বিমানবন্দর
branch শাখা
then তৎকালীন
analysis প্রস্তুতকৃত
church চার্চ
differently আলাদাভাবে
intimate ঘনিষ্ঠ
towards অনুকূল
vibration স্পন্দন
list তালিকার
next পরবর্তি
price দামে
2011 ২০১১
6th সিক্সথ
genetics জেনেটিক
socialist সমাজবাদী
chess দাবা
budget বাজেট
internal অন্তর্বর্তী
your আপনাদের
impossible দুঃসাধ্য
united সংঘবদ্ধ
package প্যাকেজ
bwa ব
vision দৃষ্টি
president মহাসচিব
denied প্রত্যাখান
subcontinent উপমহাদেশ
92 ৯২
magnitude কম্পাঙ্ক
corporate কর্পোরেট
score রান
area অঙ্গনে
yearly বার্ষিক
a আ
culture সংস্কৃতিতে
pyne পাইন
jen জেন
subordinate অধীনস্থ
bnp বিএনপির
cameron ক্যামেরুন
jaw জ
hunt শিকার
open খুলে
conflict মতবিরোধ
founded স্থাপিত
premiership প্রিমিয়ারশিপের
success সিদ্ধি
mimi মিমি
autonomous স্বায়ত্তশাসিত
luna লুনা
presented পেশ
muslims মুসলিমদের
attained করে
27 ২৭
group গ্রুপ
film চলচ্চিত্র
felt অনুভব
fine সূক্ষ্ম
grandfather পিতামহ
learn শেখে
pfo পিএফএ
maharashtra মহারাষ্ট্রের
brief সংক্ষেপে
rules বিধি
neem নিম
next পরবর্তী
english ইংরেজি
occupied জুড়ে
transliteration প্রতিবর্ণীকরণ
paper কাগজ
arjun অর্জুনকে
peru পেরুর
1976 ১৯৭৬
basin অববাহিকার
a অ
november নভেম্বর
era অব্দ
increasing বর্ধিত
activities কর্মকাণ্ড
applied প্রায়োগিক
mixer সম্মিলন
wide বিস্তর
components উপাদানগুলো
world বিশ্বকে
britain ব্রিটেনে
seaway সমুদ্রপথ
deserted পরিত্যাক্ত
absolute নিরঙ্কুশ
4000 ৪০০০
france ফ্রান্সে
record সাক্ষ্যপ্রমাণ
knock-out নকআউট
chinese চীনা
song গীত
completeness পূর্ণতা
zero শূন্য
road সড়ক
bipolar বাইপোলার
rate হার
file ফাইল
proof প্রমাণ
cpd সিপিভি
1998 ১৯৯৮
stage দশা
study অধ্যয়ন
fifth ৫ই
engineering প্রকৌশল
travel যাতায়াতের
only কেবল
sixties ষাটের
transistor ট্রানজিস্টর
binocular দুরবিন
atmosphere পরিবেশে
infectious সংক্রামক
chapter অধ্যায়
zoology জীববিজ্ঞানের
nationality জাতিগত
celebration উদযাপন
little কম
hinduism হিন্দুধর্ম
default ডিফল্ট
always সবসময়ই
mixing মিশে
begetting প্রজনন
property বৈশিষ্ট্যে
wine মোদক
reach পৌছায়
80 ৮০
walter ওয়াল্টার
andes আন্দেস
dutta দত্তক
next পরবর্তীতে
success সাফল্যের
1926 ১৯২৬
found খুঁজে
like যেন
england ইংল্যান্ড
ramayan রামায়ণে
nativity নেটিভিটি
assigned দেওয়া
culprit দোষী
descendant বংশধর
50000 ৫০০০০
feel অনুভূত
ashes ছাই
dangerous ক্ষতিকর
occupy আছেন
muller মুলার
respond জবাব
brings এনেছে
created উদ্ভুত
many অনেকগুলো
nation জাতি
many অনেকগুলিই
heated উত্তপ্ত
encyclopedia বিশ্বকোষের
111 ১১১
price দাম
execution নির্বাহ
amitabha অমিতাভ
heart হেরাত
weekly সপ্তাহে
mixed মিশ্র
virginia ভার্জিনিয়া
island চর
material পদার্থগুলোর
christian খ্রিস্টানদের
joseph জোসেফ
