loss scăderea
spreading răspândire
volume volumului
gave adus
purchased achiziționat
period perioada
recalled amintite
coming provenite
establishes înființează
intelligent inteligent
electric electrică
prize premiul
come intră
japan japonia
formaldehyde aldehidă
name harghita
designed conceput
standard standarde
mature mătură
sustained susținut
any orice
heart suflet
specialists specialiștii
appears apar
dated datată
proclaimed proclamat
potential potențial
fortress cetății
sure sigură
part porțiunea
religion cult
flights zboruri
appearance apariție
copper cupru
percent procente
situated aflată
engines motoare
announced anunța
star stea
knights cavalerilor
interaction interacțiunea
religions religii
extended extins
protocol protocolul
once cândva
spirit spiritul
marketing marketingul
was reprezentat
politic politica
order dispune
memoirs memorii
variable variabile
expands extinde
postbellum postbelică
romanians români
line linie
cultures culturile
complicated complexă
arms brațele
yet încă
master stăpânului
precise exacte
leave părăsește
bohemia boemiei
rivers izvoarele
glas sticlă
region localității
ministry minister
army armata
travel călătorește
cup cupei
republics republici
riot răscoala
stoning lapidare
golden auriu
matter materia
cell celulă
won câștigat
section selecție
minority minorităților
valley vale
distance distanță
explanation explicație
execution execuție
small mici
i eu
foot picior
method metoda
conditioned atribuite
starting începând
americans americani
speed viteză
mythology mitologice
scenes scene
moldavia moldova
classified clasificate
take duc
highway autostrăzi
manifested manifestat
nobles nobili
sugar zahăr
specialized specializate
caused provocat
hard dificil
band formație
spanish spaniola
renamed renumit
expeditions expediții
cancer cancerul
romanians românilor
western vestică
rising înalță
means înseamnă
mentions menționează
free independente
minister ministerului
records discuri
uploaded încărcate
different diferiți
counties județe
joined aderat
act declarația
turkish turcească
honour onoarea
previous anterioare
asked cereau
seas mării
borrowed împrumutat
conservative conservator
discoveries descoperiri
places locurile
continues continuă
petroleum petrolului
registered înscrise
responsible responsabilă
experiments experimente
marginal periferic
rich bogat
initially inițial
battles lupte
addressed adresate
forbidden interzisă
started începută
better degrabă
station stația
related înrudite
produced produsă
ties legăturilor
character caracterului
circulation circulație
name iordania
persian persan
daughter fiica
set puneau
fulfill îndeplinească
publications publicații
basilica bazilica
centers centre
violence violente
the cea
quantity cantitatea
watched văzut
russia rusiei
weeks săptămâni
active activ
permanently permanentă
way calea
profile profilul
expressed exprimat
place locului
linguist lingvistice
stretching întindere
great marele
ruled domnii
children copiii
eagle vulturul
obvious evident
finished terminat
blocks blocuri
developed dezvoltată
presumed presupus
coins monedele
attacked atacat
outfit ținută
satisfied mulțumită
important importanță
dense dens
last durează
vienna vienei
commander comandantul
would sit
assigned atribuit
behave poarte
dry secetoase
historiography istoriografia
schedule programare
nazi naziștii
renaissance renașterii
leaders liderii
changed modificat
autonomy autonomie
julian iulian
inside intern
said afirmat
modified modificat
solving rezolvarea
bloc gruparea
close închide
rocks roci
before înaintea
burnt arsă
italians italieni
care grijă
china chinei
solid solidă
crime crimă
giant uriaș
welded sudare
hypothesis ipoteză
globe glob
minerals minereuri
antenna antena
installing instalarea
congressman parlamentar
duration durat
after ulterior
removed îndepărtate
formed formată
non nemetal
old vechilor
shore maluri
noun substantiv
arid secetoase
cornelius corneliu
exceeds depășește
small minore
courses cursuri
efforts eforturile
word termenului
writing scrisul
expresses exprima
use folosesc
yesterday ieri
specific concrete
tv televiziuni
beginnings începuturi
principal principală
network rețelei
jesus isus
custom obiceiul
string coarde
louvre luvru
royal regal
generates generează
wear poartă
pure pură
information informația
request cerere
hydrographical hidrografică
germanic germanice
compute calcula
season sezon
training pregătirea
constitution constituția
representative reprezentativ
girl fata
one una
sport sportul
assistance sprijin
lake lac
pitbull pibul
pasha pașa
painting pictura
remains vestigii
destined destinat
milk lapte
county județeană
called zis
beer bere
free gratuit
smart inteligent
back întors
create creeze
artist artistei
president președintele
initial inițial
salty sărată
production producerea
east orient
plans planurile
always totdeauna
burnt ars
soon devreme
spanish spaniole
forces forțele
wide lat
destination destinație
planted cultivate
being ființă
rivers fluvii
hungarians maghiari
usual obicei
apparatus aparatul
fate soarta
outside exterioară
popularity popularitatea
coefficient coeficient
lifts ridice
fish pește
condemned condamnat
name nadia
port portul
prove demonstrează
gas gazul
light luminii
radiation radiației
mandatory obligatoriu
traffic trafic
principality principate
diverse diverselor
shelf platformă
oral orare
specimen speciei
participates participă
heat căldura
disposition dispoziție
replacement înlocuite
approached alăturat
theme tematică
both ambele
rainforest pădurile
appears apare
mountain muntele
ordered ordonat
mercy milă
translations traduceri
led condus
fixed fixe
cases cazurilor
substance substanțelor
experience experiența
new noile
get pună
bronze bronzului
complex complexului
said declara
composed alcătuit
commissions comisii
doctorate doctorat
poems poeziile
west vestul
becomes devine
acknowledged consacrat
tatars tătarilor
front frontul
court judecată
stefan ștefan
roman români
boys băieți
allowed permis
plan planul
particularity particularități
both deopotrivă
named numită
impose impună
gulf golfului
flag steagul
middle mijlocul
inheritance patrimoniul
leave plece
father părintele
natives localnici
specific specifice
receiving primea
collection colecția
shades nuanțe
families familii
trees arbori
obligations obligați
designate desemnează
will urma
taking preluarea
commerce comerț
orbit orbită
common comune
political politice
occasion prilejul
circulation circulația
eyes ochii
king rege
metro metroul
ex fostele
taxes taxe
danish danez
to față
princes principiilor
missing lipsa
brothers frații
supports suportă
name kogălniceanu
diverse diverși
sign semnul
station stație
friend prietenului
anterior anterioare
lithuania letonia
places locuri
st. sf
b.c. îc
postmodern postmodernismului
debate disputa
raised strâns
you dumneavoastră
peoples popoare
journalist jurnalist
digits numere
europe europa
of vreun
all întregii
match meci
toughness duritate
analysis analiza
target țintă
equator ecuador
literatura literaturii
geographical geografic
impose impuse
medicines medici
meets întâlnește
fourteen xiv
during decursul
tribe tribul
championship campionatului
statements afirmații
kept păstrat
effect efectului
descendant urmașul
release lansarea
left rămas
significant semnificativ
board placa
label casele
courage curajul
speciality specialitate
authorities autorităților
mistake greșeală
because datorită
ukrainian ucraineană
channel canal
populations populațiile
secret taină
instruments instrumente
annual anuală
supply aprovizionarea
advice sfatului
accounting contabile
theoretical teoretic
empire imperiului
increase creștea
village comunale
mathematical matematice
thing lucru
place jiu
cities stațiuni
christian creștină
new nouă
conquer cucerire
simple simplu
saying vorba
constitution constituție
techniques tehnici
journalist ziarist
island insulei
dignified demn
egg ou
be constitui
interior interioară
opposite opus
author eseist
process prelucrarea
diana dianei
hot cald
mountainous muntoase
small mica
project proiectul
none niciunul
result finale
execution executarea
daily zilnică
land terenului
hydrogen hidrogenul
complex complexă
suggests sugerează
offensive ofensiva
obtained obținute
body corpului
focus concentrare
pair pereche
spanish spanioli
less puține
sciences științe
buildings edificii
next următoare
depict înfățișează
forest pădurile
peace pacea
can putem
great marile
relationship relații
latvia letonia
let lăsate
crimes crimele
asian asiatic
domination dominație
because cauza
begins debutează
evaluations evaluare
prove dovedesc
shepherd ciobanu
confirmed confirmată
teaching predare
stations stații
tour turneul
love iubirii
acetylation acilare
psychology psihologie
foreigners străini
orient orientul
steel oțelului
conservationists conservatori
local locali
aids hiv
grown cultivat
person persoana
regional regională
how câți
know știm
realize realizeze
had trebuit
states statele
great mărilor
races rase
step treaptă
colours culori
stretched întinse
example exemplu
regards privește
essays eseuri
male masculin
interests interese
funeral funerară
subjugate supus
people oamenilor
hosted găzduit
law legea
rectangular dreptunghic
based bazate
directions direcția
twenty douăzeci
concentrated concentrate
have avea
games jocuri
location locația
ships vasele
said declarat
presence prezență
operated funcționat
reform reforme
rewards premii
tome tom
designated desemnat
journal jurnalul
status statutului
owns posedă
brave viteazul
emperor împăratului
surprisingly surprinzător
find găsească
neighborhood cartierul
heraldry heraldică
sexual sexuală
riverine fluviale
encouraged încurajat
us noii
wars războaielor
etymology etimologie
produce producă
resemblance asemănarea
pleasure agrement
had aibă
bucharest bucureşti
different diferite
use utilizează
voices voci
intense intens
appeared apărut
watching privind
launched lansate
armenians armeni
macedo aromâni
surveillance supraveghere
name numească
proposed propuse
stay rămână
reports relatări
slovakia slovacia
song melodie
out scos
theatres teatre
would sar
official oficială
phenol fenol
plains câmpiile
funeral funerar
method modalitate
dream vis
senses sensuri
name ovid
dacians daci
masonry francmasoneria
passion pasiunea
states stări
services servicii
egyptian egiptean
of dea
count totalul
follow urmări
painters pictori
dating datând
network rețea
unknown necunoscute
ending terminarea
invasion invaziei
sacred sacru
moist umede
approximately aprox
tools instrumentele
luxury lux
esthetics estetică
free libere
informations informațiilor
find găsește
found constatat
step faza
contemporary contemporană
work lucrare
modernization modernizare
north nordul
appropriate corespunzător
football fotbal
intermediate intermediară
information informații
someone cineva
manufacturing fabricarea
azerbaijan azerbaidjan
time vremea
flow flux
successful reușit
trends tendințe
carries poartă
back înapoi
psychology psihologia
great marii
domain domeniu
most majoritatea
teams echipe
work lucreze
serious serioase
worldwide universale
analysis analize
senate senatul
settlers coloniști
flows curge
never deloc
domination dominația
parts părțile
mathematics matematicii
legs picioare
formula formule
town orășenești
professors profesori
communities comune
sinan oastea
male masculii
injured rănit
local locale
companies firme
slovakian slovac
flower floare
strong puternic
improving îmbunătățirea
room cameră
former fost
domnitor domnitorul
different variate
arab arabă
returned reîntors
those celor
singer cântăreței
fir brad
cloths haine
locals localnici
routes trasee
taken luate
claimed pretins
approach abordare
consensus consens
army oastea
throne tronului
technics tehnicile
they ei
keeping păstrarea
central centrală
wanted doreau
so atâta
6th via
contract contactului
inclined dispus
antiquity antichitate
chose alege
job slujba
giant gigant
trophy trofeul
temperatures temperaturile
middle mediu
negative negativă
objects corpurilor
subjects temele
whole întregime
derive derivă
dead moartă
mother maicii
consume consum
movement mișcare
piece piesă
arial aeriene
process procedeul
first dintâi
legions legiunii
addresses adresează
forced nevoit
huge uriaș
construction construcții
home patria
choose alege
name bucegi
basketball baschet
first primii
conservatory conservatoare
mechanism mecanisme
accountability contabilitate
summers veri
offensive atacă
taken luat
agreement acordul
archaeologist arheologic
transform transforma
decided hotărârea
foundation întemeierea
counselors consilieri
taste gustul
modification modificare
oriented orientate
decide hotărăște
welcomed întâmpinat
electoral electorală
particulars particularități
probe sonda
mum mamă
length lungimi
stations gări
towers turnuri
immense imensă
against împotriva
measure măsura
architectural arhitecturale
scattered răspândit
programs programului
contained cuprinsă
that acel
oral orală
melodies melodii
liberal liberale
lecture lectură
real reale
free liberi
study lucrarea
subject subiect
describes descrie
rock piatră
springs izvoare
templars templierii
costs cheltuielile
woman femeii
headquarters sediul
circular circulară
returned revenit
published publicate
change modificarea
christ hristos
baptized botezat
blue albastră
information informație
members statale
archives arhivele
agrarian agrară
iron fierului
true adevărat
civilizations civilizații
received primită
explained explicat
arts artelor
nation neamului
create crea
fish pești
winter iarnă
express exprima
tourist comise
night noapte
bonding sudare
cup cupa
sultan sultanul
study studia
soul sufletul
lack lipsa
romans romanilor
waterfall cascada
follow urmărește
roman romanului
gdp pibul
launch lansare
homonym omonimie
found întâlnite
current curente
language limbaje
remains rămâne
settled stabilite
gipsy rromi
product produs
attend participă
organisation organizațiile
influence influențează
notion concepție
legionnaire legionară
landscape peisajul
sound sunet
actor actorul
county județ
parliamentary parlamentar
studies studiază
portion porțiuni
cold rece
materially material
restaurant restaurante
new noii
market târgu
greeks grecilor
professional profesională
mechanisms mecanisme
norwegian norvegiei
adversary adversar
full plin
produce produc
absolute absolută
know știu
flee părăsească
his acestuia
get primi
steaua stelei
season sezonul
fur blana
pin vârf
ma mă
helped ajutat
childhood copilărie
statements declarații
premiere premiera
well buna
account seama
could puteau
similarity asemănarea
people locuitorilor
codes codurile
undoubtedly siguranță
saddle șa
attitude atitudine
traveled călătorit
construction construcție
commercial comerciale
consequences consecințele
contamination contaminare
other alte
reach ating
zone zona
their acestor
high înalt
name micle
neighbouring învecinate
origins origini
relationship relația
moving îndreaptă
chronologically cronologic
constitutional constituționale
explain explica
students studenților
see constata
genetical genetice
netherland olandei
meter metru
reflects reflecta
teutons teutoni
houses case
bust bustul
service serviciilor
some unii
for petru
name bălcescu
grid rețele
seldom rar
efforts eforturilor
discussion discuții
oppose opus
killed uciși
unit bloc
was era
called chemat
work lucrările
belief convingerea
taught predat
orient orientului
meaning înțelesul
communist comunistă
expression exprimare
killed omorât
state statul
tar țarului
vote vot
kilometers km
nuclear nucleare
northern nordice
slav slavici
inn han
fair târg
shine strălucire
reference referire
ours nostru
copy copie
name sahara
skilled calificat
south sudului
gasses gaze
island insula
construction construcției
band formația
interview interviuri
circuit circuitul
organizations organizării
christians creștinilor
borders frontierele
signs însemnele
name monroe
sectors sectoare
campaign campanie
transform transforme
argues argumentează
performs efectuează
ex fostei
objective obiectivul
buildings clădirii
authorities autoritățile
dynasty dinastiei
mainly predominant
locomotives locomotive
inhabitant locuitor
democratic democratică
french franceză
unity unității
approached abordat
assigned atribuie
replaced înlocuită
grouped grupa
attacks atacurilor
medicine medicinei
tribes triburile
woman femeie
templar templierilor
emblem stemei
testimony mărturie
invasion invadarea
exploit exploatarea
parliament parlamentului
portion porțiune
sit sta
rain ploaie
cause cauza
financial financiar
settled așezat
aesthetic estetice
turkish turcești
reviews cronicile
big marea
saint santa
means mijloace
supremacy supremația
neighborhoods cartierele
districts districte
case cazul
founded fondat
achievement realizare
smooth fine
bohemian boemiei
large vaste
note însemna
found descoperite
intervened intervenit
occasion prilej
tome manuscris
army armatei
prof. prof
lasted rezistat
styles stiluri
regions părțile
next următoarele
rule domină
criticized criticat
birds păsări
radio radioul
grants acordă
momentum impuls
over peste
finance finanțe
which căreia
crown coroana
socialist socialiste
processes procese
network rețeaua
finish încheierea
relationship relație
uprising răscoala
pope papa
bulgarians bulgarilor
performance performanță
nazi naziste
thermic termice
wight greutatea
freed eliberat
november nov
grandson nepotul
usual obișnuit
reformed reformat
silver argint
wide largi
placed plasat
meeting întâlnirea
week săptămână
weld sudare
pleasure plăcere
beginning începuturi
colored colorate
varies variază
noted notează
received primea
cold reci
moldavian moldovean
populated populată
serbian sârbi
etymology etimologia
loss pierderile
etc. șa
planet planetei
that acea
figures figurile
executes exercită
prevail predomină
legionnaires legionarii
children copii
studies studiile
north nordului
money bani
heights altitudini
published apărută
prints amprenta
news știri
tzar țarul
invasions invazii
other alta
expressing exprima
beginnings începuturile
production producției
foreword prefață
have avem
deduce reiese
left rămasă
scenario scenariu
real adevărat
ivory fildeș
bibliography bibliografie
sections sectoare
status stării
hollow depresiuni
town orășelul
growing înfloritoare
crisis criză
sequence succesiune
diseases boli
ceremonials ceremonii
modern moderni
character litere
literature literatura
range raza
studies învățământ
cities orașe
identify identifica
writers scriitorilor
differences diferențe
recognition recunoașterea
rotating învârtitor
our nostru
discussion discuție
geographical geografice
philosophical filozofică
rest repaus
name numesc
so astfel
artillery artilerie
beside alături
slave slav
letters scrisori
nature sol
low joase
british britanică
fleet flota
beauty frumoasă
affine afin
campaign campanii
salvation salvării
certain anumiți
maritime marine
poem poeme
habsburg habsburgic
disease bolii
home locuințe
whose cărora
diary jurnalul
reason cauză
states popoarele
hosting găzduiește
romans romanice
require necesitatea
main principalii
settlement așezare
defeat învinge
areas zonelor
musical muzicală
visit vizitează
numbers numere
called numite
convince convinge
brown brun
hair păr
pass pasul
plaque placă
set stabilit
strategy strategia
belong aparțin
means desemnează
maintained păstrată
dmv auto
botanical botanice
actually actualmente
woman femeia
computer informatică
neck gât
affected afectate
piece piesei
near alăturat
no nicio
conditions condiții
subject supuși
legionaries legionarii
beautiful frumoasa
southeast sudest
ulysses ulise
thrace tracia
not nu
preserved păstrat
seas mări
thermodynamic termodinamic
prince principele
wind vântului
device aparatul
nitrogen azotul
humanism umanismul
held deținut
hospital spitalul
some câteva
hall primăriei
as întrucât
comedy comedia
television televiziune
trust încredere
correspond corespund
ex foști
staged montate
commanded ordonat
compounds compușii
nucleus nucleul
ways feluri
revealed iveală
institutions instituțiile
few puțini
change transforme
opposes confruntă
lord voievodul
percentage procentul
desert deșertul
strap centură
something ceva
characters caractere
bukovina bucovinei
cat pisicii
shadow umbra
round turul
threat amenințare
played interpretat
effect vigoare
explain explicat
april apr
imagination imaginația
size dimensiuni
tens zeci
fully depline
women femeia
topics subiecte
put punea
festival festivalului
significantly semnificativ
existing existent
white albă
head șef
room sală
our noastre
function funcțiune
name marmara
without fără
depending funcție
turkish turcii
firms firmele
include includ
justice justiției
reactions reacțiile
agency agenția
better bine
tribe trib
mentions precizează
traditions obiceiuri
the partea
failure eșecul
now acum
threatened amenințat
possible posibil
properties proprietăți
orchestrate orchestră
picture tablou
enjoyed bucurat
superior superioară
muslim musulman
those respective
unity unitatea
property avere
tendency tendință
growth creștere
oltenia olteniei
pool bazinul
united emiratele
types tipurile
designate desemna
interpret interpreta
news noile
offer oferă
separation separarea
side laturile
except afară
by catre
integrates încadrează
for für
giving dând
touch atingerea
to săl
linguistic lingvistice
atom atomului
field câmpul
books cărțile
thing chestiunea
radiation radiații
waves valuri
cultivation cultivarea
buddhism budism
matter privința
atmosphere atmosferei
price prețul
deep profund
gradual treptată
here iată
produces produc
lost pierdut
image imaginii
movement mișcarea
base bază
energy energie
achieve atingă
catch pradă
univers universul
appearance apărea
tempered temperată
distinguish deosebi
cells celulelor
processes proceselor
economics economice
about privitoare
grouping grupării
contributions contribuții
characteristics caracteristici
virus virusului
external externă
circle cercul
know cunosc
flow fluxului
currents curenți
do fac
asks cere
forces forțe
constitute constituită
suddenly brusc
chapel capela
documentary documentară
since fiind
shepherd ciobănesc
asked cerea
materials materiale
statement declarație
descriptions descrieri
transports transportă
learn învețe
sold vândute
next următoarea
applied aplicat
dramatic dramatică
until până
bank banca
critical critice
galleries galerii
adjective adjectiv
natives nativi
few puține
refugee refugiat
guys indivizi
factory fabrică
climate climat
acid acidul
ascend urcă
inevitable inevitabil
specialists specialiști
din auf
city orașului
enthusiasm entuziasm
brain creierului
meeting ședința
necessary necesar
arriving ajungând
emits emite
align align=center
the celui
act comportă
states satele
history istoriografia
function funcționarea
romanian romanilor
trust încrederea
density densitatea
prince voievodului
western occidentală
persuade convingă
mills morile
growing creștere
gravitation gravitației
presented prezentată
nobility nobilimii
producer producător
stuff lucrurilor
atmosphere atmosferă
officers ofițeri
connections legăturilor
particular aparte
sky cer
here aici
bring aducă
declined refuzat
appreciations aprecieri
slovakian slovaci
dominant dominantă
make face
composer compozitorului
type tipul
included inclusă
configuration configurația
leading ducând
oil petrolului
useful utile
relation legătură
were urmau
spoke vorbit
expressions locuțiuni
proteins proteinelor
principals principalii
appearances apariții
antony antoniu
caucasian caucaz
singer cântăreț
phimosis fimozei
pole polul
body organismului
service slujba
affect afecta
words cuvintele
close strânse
situated aflau
women femeie
name vuia
gentleman domnului
acute acută
see observa
precipitation precipitațiilor
ample amplu
carbolic fenol
what adică
name konoha
publicity publicității
capacity capacitate
can putea
morning zori
use folosirea
russians ruși
promote promoveze
comprises cuprinde
resumed reluat
done făcută
were reprezentau
city orasul
open deschisă
measures măsurile
starts pornește
sang cânta
high ridicată
stadium stadionul
junimea junimii
surroundings împrejurimile
cast vaste
confer conferă
concerts concertele
troops trupele
chain lanțul
trying încercând
alive vie
characteristics caracteristice
rays razele
campaign campania
style stilul
race rase
christians creștin
culture culturi
photos fotografii
understand înțeleasă
2 ii
jews evrei
indicated indicat
studying studierea
planet planeta
leave părăsească
name dej
chemical chimice
accurate precis
milan milano
temperature temperaturii
with cu
element elementul
repeated repetat
territory teritoriului
current actuală
movie filme
blueprints schițe
writings scrierilor
term termenului
when când
county municipiu
probably probabil
passage pasajul
human uman
comes vine
wonderful fantastice
attempt încercarea
cocoa cacao
moderated moderat
negative negativ
reserves rezervele
testimony mărturii
rene rené
explain exprimă
vienna weimar
cited citate
presentation prezente
equipped prevăzut
soldering sudare
ulterior ulterioară
constitution constituită
songs cântece
to săi
energy energia
frequently frecvente
increased mărit
christianity creștinismul
prevent împiedica
short scurtă
coating înveliș
way modalitate
institutions organismele
tracks căilor
meaningful semnificative
newspaper ziarului
lines rândurile
problem chestiunea
tour turneu
increased crescut
customs obiceiurile
because fiindcă
to către
guilt vină
large întinsă
think cred
peasants țăranilor
nile nilului
iraq irak
construction constructoare
disk disc
cycles cicluri
divine divin
winters iernile
gentleman domn
attest atestă
family neamului
ours noastre
evaluation evaluare
camps lagărele
order ordinul
cars mașinii
fact facto
happiness fericirea
used utilizată
placed plasată
cows vite
apparent vizibilă
march martie
administration administrației
fortress cetatea
changed schimbat
farming agricole
any oricare
doing făcând
estate stări
onion arpagic
human omul
said afirma
world lumea
primary primare
gothic gotice
patterns edificii
organic organici
sports sportivă
border frontieră
christmas crăciunul
slavs slavii
skeleton schelet
brought adus
lyceum liceu
isolated izolat
fragments fragmente
consider considerau
writings scrieri
reacts reacționează
machine mașini
win câștige
extremity extremitatea
district sectorul
written trecute
strategical strategice
hers ei
pronounced accentuată
begin debutează
organized organizate
seashore litoralul
actual actualei
bottle sticlei
flowing curgătoare
civilians civililor
emitted emisă
son fiul
actress artista
thoughts păreri
sales vânzările
rebirth renașterea
could putut
would ar
gave dat
festivals festivaluri
common comun
go duc
locomotive locomotivele
civilization civilizației
survived supraviețuit
province provinciei
priests preoții
geography geografia
united unite
kings regii
day ziua
ice gheață
postmodernist postmodernă
united unit
density densitate
diverse variată
son cântec
source proveniență
piece bucată
manufacturers producătorii
railroads ferate
frame schelet
successful succes
missing lipsește
take lua
sulfa sulla
highlight evidență
west vestică
set stabilirea
traditions tradițiilor
mechanism aparatului
others alte
rights drepturi
special anumiți
copper cuprului
shield scut
bc îhr
poorly slab
harbors porturi
name henry
medical medicale
solution rezolvarea
studying studieze
twin înfrățite
respecting respectarea
visible vizibile
sense sens
immigrants imigranți
introduced introduse
developed înflorit
inhabitants habacuc
ocean atlanticului
radiation radiația
contributes contribuie
compliance respectarea
21st xxi
enter intră
text textele
plate placa
class clasei
prey pradă
hebrew evreiesc
mass mase
living trăiau
controversy controversă
operations operațiuni
waits aștepta
traffic traficul
totally totalitate
development progresul
way modul
role rol
organize organiza
decision hotărârea
records înregistrările
conversations convorbiri
mountain muntoasă
economy economiei
regiment regimentul
continuously continuu
meadow luncă
name shakur
dimensions dimensiuni
molecule moleculă
canon canonul
triangle triunghi
support suportul
thermodynamic termodinamicii
reminded amintite
orpheus orfeu
user utilizatorului
manage reușesc
taking ținând
stage stadiu
comparative comparativ
reply răspuns
accountant contabilă
bad slabă
priority precădere
opponents adversarii
worker muncitorilor
opposite opusă
home casă
cattle vite
its acesteia
weak slabă
approved aprobat
hospitals spitale
ethnicity apartenența
cult culte
ethnographic etnografie
players jucători
pointedly subliniat
river fluvial
truce armistițiul
pieces bucăți
feet picioarele
4 iva
tourism turism
farmers țăranilor
give oferi
italian italieni
laws legi
poet poetul
demolished demolată
becoming devenind
luminous luminoasă
walding sudare
papers actele
made făcută
collections colecții
dead morți
representatives reprezentanții
slightly ușor
female feminin
muslim islamică
students elevi
that asta
so așadar
stretch cuprins
messages mesaje
right dreptului
initial inițiale
rooms camere
cults cultelor
revenues încasări
perform efectua
character personajul
daca if
ways moduri
those cei
internal internă
led conduși
plane avionului
earn câștigă
personage personaj
prestigious înalte
process proceselor
republic republică
organization organizare
richness bogăția
council consiliul
geometry geometriei
fluvial fluviale
affect afectează
deputy deputaților
antiquity antichității
authority autorității
sum suma
car mașină
face fața
decides hotărăște
abolition abolirea
next următorii
mail corespondență
presenting prezentând
brain creierul
palace palatului
thoughts gândirii
flag stemei
name ben
bearings lagăre
synagogue sinagoga
payment plata
science științele
noticeable vizibilă
bigger mărit
city arad
twelve xii
geometrical geometrice
left lăsate
gravity gravitației
policy regim
metals metale
mit mitul
priest preotul
prime primei
valley văi
continent continentului
alone singura
address adresa
beliefs ideilor
of de
radiation radiație
driven condusă
favorable favorabilă
contact legătură
hosts găzduiește
consequence consecință
culture cultura
liquid fluid
same aceluiași
win câștiga
tooth dinte
allowing permițând
balkan balcanică
influence influențat
common obișnuite
discs discuri
principle principe
alps alpi
corps corpului
mystery taină
valuable valoros
environment mediul
ship navă
statue statuia
flow circulației
place cartagina
dad tată
ukraine ucrainei
violent violente
late târziu
group grup
surrounding împrejurimi
square pătrat
namely anume
learns învăța
reserve rezervațiilor
opinion părerea
mass masa
maps hărți
entry intrare
turn întoarce
caves peșteri
greeks greci
ministry ministrul
decreased diminuat
sides partidele
shores maluri
finish termină
authority autoritatea
middle evului
mistakes erori
documentary documentar
honor onoruri
each fiecărei
near apropiere
legacy moștenirea
rescue salva
mythological mitologice
consumption consumul
holocaust holocaustului
controlled controlate
politics politicile
pieces piese
pane milă
affects afecta
density densității
triangle triunghiului
above sus
it ea
judges jucători
railway feroviară
origin originii
milky lactee
closed închise
sources izvoare
only singura
teach învețe
advertisement reclama
treatment tratarea
hand mână
peter petre
lessons lecții
this aceasta
mark notă
waters apelor
put pune
enormous uriaș
nature naturii
died decedat
humid umede
length lungimea
lyric cântul
described descris
dance hora
estimated prevăzută
aeolian eoliene
population populațiile
